device;ano-mes;sensor;valor_maximo;valor_medio;valor_minimo
Bento - Igreja Cristo Rei (15);2024-03;eco2;;;
Bento - Igreja Cristo Rei (15);2024-03;etvoc;;;
Bento - Igreja Cristo Rei (15);2024-03;luminosidade;;;
Bento - Igreja Cristo Rei (15);2024-03;ruido;;;
Bento - Igreja Cristo Rei (15);2024-03;temperatura;;;
Bento - Igreja Cristo Rei (15);2024-03;umidade;;;
Bento - Igreja São Bento (18);2024-03;eco2;;;
Bento - Igreja São Bento (18);2024-03;etvoc;;;
Bento - Igreja São Bento (18);2024-03;luminosidade;;;
Bento - Igreja São Bento (18);2024-03;ruido;;;
Bento - Igreja São Bento (18);2024-03;temperatura;;;
Bento - Igreja São Bento (18);2024-03;umidade;;;
Bento - UPA Zona Sul (08);2024-03;eco2;;;
Bento - UPA Zona Sul (08);2024-03;etvoc;;;
Bento - UPA Zona Sul (08);2024-03;luminosidade;;;
Bento - UPA Zona Sul (08);2024-03;ruido;;;
Bento - UPA Zona Sul (08);2024-03;temperatura;;;
Bento - UPA Zona Sul (08);2024-03;umidade;;;
Canela - CIT (12);2024-03;eco2;;;
Canela - CIT (12);2024-03;etvoc;;;
Canela - CIT (12);2024-03;luminosidade;;;
Canela - CIT (12);2024-03;ruido;;;
Canela - CIT (12);2024-03;temperatura;;;
Canela - CIT (12);2024-03;umidade;;;
Canela - Distrito Industrial (14);2024-03;eco2;;;
Canela - Distrito Industrial (14);2024-03;etvoc;;;
Canela - Distrito Industrial (14);2024-03;luminosidade;;;
Canela - Distrito Industrial (14);2024-03;ruido;;;
Canela - Distrito Industrial (14);2024-03;temperatura;;;
Canela - Distrito Industrial (14);2024-03;umidade;;;
Caxias - Praça Dante (06);2024-03;eco2;;;
Caxias - Praça Dante (06);2024-03;etvoc;;;
Caxias - Praça Dante (06);2024-03;luminosidade;;;
Caxias - Praça Dante (06);2024-03;ruido;;;
Caxias - Praça Dante (06);2024-03;temperatura;;;
Caxias - Praça Dante (06);2024-03;umidade;;;
Caxias - UBS São José (05);2024-03;eco2;;;
Caxias - UBS São José (05);2024-03;etvoc;;;
Caxias - UBS São José (05);2024-03;luminosidade;;;
Caxias - UBS São José (05);2024-03;ruido;;;
Caxias - UBS São José (05);2024-03;temperatura;;;
Caxias - UBS São José (05);2024-03;umidade;;;
Gramado - Prefeitura (22);2024-03;eco2;;;
Gramado - Prefeitura (22);2024-03;etvoc;;;
Gramado - Prefeitura (22);2024-03;luminosidade;;;
Gramado - Prefeitura (22);2024-03;ruido;;;
Gramado - Prefeitura (22);2024-03;temperatura;;;
Gramado - Prefeitura (22);2024-03;umidade;;;
Sao Chico - Antiga Seplan (16);2024-03;eco2;;;
Sao Chico - Antiga Seplan (16);2024-03;etvoc;;;
Sao Chico - Antiga Seplan (16);2024-03;luminosidade;;;
Sao Chico - Antiga Seplan (16);2024-03;ruido;;;
Sao Chico - Antiga Seplan (16);2024-03;temperatura;;;
Sao Chico - Antiga Seplan (16);2024-03;umidade;;;
São Chico - Biblioteca Pública (20);2024-03;eco2;;;
São Chico - Biblioteca Pública (20);2024-03;etvoc;;;
São Chico - Biblioteca Pública (20);2024-03;luminosidade;;;
São Chico - Biblioteca Pública (20);2024-03;ruido;;;
São Chico - Biblioteca Pública (20);2024-03;temperatura;;;
São Chico - Biblioteca Pública (20);2024-03;umidade;;;
São Chico - Escola (21);2024-03;eco2;;;
São Chico - Escola (21);2024-03;etvoc;;;
São Chico - Escola (21);2024-03;luminosidade;;;
São Chico - Escola (21);2024-03;ruido;;;
São Chico - Escola (21);2024-03;temperatura;;;
São Chico - Escola (21);2024-03;umidade;;;
sirrosteste_UCS_AMV-01;2024-03;eco2;170.0;1.515;0.0
sirrosteste_UCS_AMV-01;2024-03;etvoc;1481.0;410.563;400.0
sirrosteste_UCS_AMV-01;2024-03;luminosidade;27306.2;4579.499;0.0
sirrosteste_UCS_AMV-01;2024-03;ruido;120.0;102.232;0.0
sirrosteste_UCS_AMV-01;2024-03;temperatura;44.7;24.65;0.0
sirrosteste_UCS_AMV-01;2024-03;umidade;97.6;73.674;0.0
sirrosteste_UCS_AMV-04;2024-03;eco2;;;
sirrosteste_UCS_AMV-04;2024-03;etvoc;;;
sirrosteste_UCS_AMV-04;2024-03;luminosidade;;;
sirrosteste_UCS_AMV-04;2024-03;ruido;;;
sirrosteste_UCS_AMV-04;2024-03;temperatura;;;
sirrosteste_UCS_AMV-04;2024-03;umidade;;;
sirrosteste_UCS_AMV-05;2024-03;eco2;1161.0;33.676;0.0
sirrosteste_UCS_AMV-05;2024-03;etvoc;2210.0;621.123;400.0
sirrosteste_UCS_AMV-05;2024-03;luminosidade;11665.7;306.187;0.0
sirrosteste_UCS_AMV-05;2024-03;ruido;120.0;61.777;39.8
sirrosteste_UCS_AMV-05;2024-03;temperatura;34.8;24.81;16.6
sirrosteste_UCS_AMV-05;2024-03;umidade;91.0;59.95;38.8
sirrosteste_UCS_AMV-06;2024-03;eco2;897.0;23.105;0.0
sirrosteste_UCS_AMV-06;2024-03;etvoc;2085.0;494.937;400.0
sirrosteste_UCS_AMV-06;2024-03;luminosidade;1990.5;84.267;0.1
sirrosteste_UCS_AMV-06;2024-03;ruido;120.0;74.614;41.5
sirrosteste_UCS_AMV-06;2024-03;temperatura;32.6;23.149;13.1
sirrosteste_UCS_AMV-06;2024-03;umidade;100.0;71.444;37.6
sirrosteste_UCS_AMV-07;2024-03;eco2;;;
sirrosteste_UCS_AMV-07;2024-03;etvoc;;;
sirrosteste_UCS_AMV-07;2024-03;luminosidade;;;
sirrosteste_UCS_AMV-07;2024-03;ruido;;;
sirrosteste_UCS_AMV-07;2024-03;temperatura;;;
sirrosteste_UCS_AMV-07;2024-03;umidade;;;
sirrosteste_UCS_AMV-08;2024-03;eco2;;;
sirrosteste_UCS_AMV-08;2024-03;etvoc;;;
sirrosteste_UCS_AMV-08;2024-03;luminosidade;;;
sirrosteste_UCS_AMV-08;2024-03;ruido;;;
sirrosteste_UCS_AMV-08;2024-03;temperatura;;;
sirrosteste_UCS_AMV-08;2024-03;umidade;;;
sirrosteste_UCS_AMV-09;2024-03;eco2;;;
sirrosteste_UCS_AMV-09;2024-03;etvoc;;;
sirrosteste_UCS_AMV-09;2024-03;luminosidade;;;
sirrosteste_UCS_AMV-09;2024-03;ruido;;;
sirrosteste_UCS_AMV-09;2024-03;temperatura;;;
sirrosteste_UCS_AMV-09;2024-03;umidade;;;
